"prior_neg","prior_singlet","prior_doublet","n_noise","f1_micro","f1_macro","f1_weighted","mcc","concordance"
0.01,0.5,0.49,4,0.861018408870707,0.854924258755956,0.901350185895736,0.852901520385445,0.86
0.01,0.5,0.49,5,0.893818651733793,0.879052216609262,0.922127131953491,0.884945556110739,0.89247311827957
0.01,0.5,0.49,6,0.917806743509641,0.898207215736499,0.937364590468623,0.908940197259724,0.916129032258065
0.01,0.5,0.49,7,0.945144950964544,0.923704997066255,0.955511122400908,0.937082660477358,0.943010752688172
0.01,0.6,0.39,4,0.87448869752422,0.864539373038618,0.909852445434362,0.866141655534826,0.873548387096774
0.01,0.6,0.39,5,0.906741331035968,0.88922155889073,0.930391254287728,0.898002739808709,0.905376344086022
0.01,0.6,0.39,6,0.922546590541851,0.902315597219466,0.94045806413786,0.913839185373313,0.920860215053763
0.01,0.6,0.39,7,0.949240219851277,0.928029239525913,0.958294772263913,0.941438481276292,0.947096774193548
0.01,0.7,0.29,4,0.880516684607104,0.868938265149452,0.913668395094224,0.872091735190487,0.879569892473118
0.01,0.7,0.29,5,0.910206718346253,0.892037415891532,0.932621858018004,0.901746297941801,0.909032258064516
0.01,0.7,0.29,6,0.929771650150797,0.908772978917128,0.945262317412642,0.921474249193642,0.928172043010753
0.01,0.7,0.29,7,0.954956896551724,0.934103244790492,0.962274811633089,0.947654936540263,0.952903225806452
0.01,0.8,0.19,4,0.894198686901302,0.879176447791093,0.922313243946187,0.885826452757851,0.893333333333333
0.01,0.8,0.19,5,0.917097329888028,0.897631047226843,0.937037069861051,0.908771243335586,0.915913978494624
0.01,0.8,0.19,6,0.936234381732012,0.914735519491112,0.949538256323809,0.928222751348138,0.934623655913978
0.01,0.8,0.19,7,0.958836206896552,0.938513722476183,0.964982993761109,0.951816939484268,0.956774193548387
0.01,0.85,0.14,4,0.901851054670684,0.885240467988369,0.927162750761425,0.893643947175769,0.901075268817204
0.01,0.85,0.14,5,0.921834625322997,0.90173652358683,0.94012796227052,0.913666082448726,0.920645161290323
0.01,0.85,0.14,6,0.940340297221624,0.918707868567661,0.952391074408567,0.93279468920555,0.938924731182796
0.01,0.85,0.14,7,0.963258269583019,0.943883020687888,0.968292856865261,0.956740840682678,0.961290322580645
0.01,0.9,0.09,4,0.90938441670254,0.891394237483011,0.932007387009938,0.901311877681556,0.908602150537634
0.01,0.9,0.09,5,0.92786391042205,0.906924224906656,0.944045257693981,0.919897980269733,0.926666666666667
0.01,0.9,0.09,6,0.945078612965755,0.923572801140607,0.955564884231858,0.937813884556206,0.943655913978495
0.01,0.9,0.09,7,0.96584419782351,0.94732828578719,0.970195828922491,0.959556323515561,0.963870967741935
0.01,0.95,0.04,4,0.9218682737839,0.901714743139207,0.940066738828572,0.914113740081933,0.921075268817204
0.01,0.95,0.04,5,0.93809882656906,0.916491214377525,0.950836287880576,0.930747050406375,0.936989247311828
0.01,0.95,0.04,6,0.950463062674995,0.929015802272662,0.959200095373797,0.943525542854943,0.949032258064516
0.01,0.95,0.04,7,0.968861114104084,0.951105540329319,0.972438839332405,0.962834488644677,0.966881720430108
0.05,0.5,0.45,4,0.860988478518359,0.854908594227498,0.901331064716757,0.852676603292628,0.859784946236559
0.05,0.5,0.45,5,0.893341952165482,0.878659358782817,0.921643024711804,0.884003592724719,0.891612903225806
0.05,0.5,0.45,6,0.918417932966915,0.898679901505565,0.937678822795701,0.909121532875714,0.916344086021505
0.05,0.5,0.45,7,0.944905660377359,0.923494068982023,0.955198545815573,0.936357292480662,0.94236559139785
0.05,0.6,0.35,4,0.876924733498439,0.866357018487965,0.911447735367197,0.868254327257114,0.875698924731183
0.05,0.6,0.35,5,0.90681891629861,0.889286861649943,0.930314094939953,0.897731654749751,0.905161290322581
0.05,0.6,0.35,6,0.926093514328808,0.905536632968011,0.942758889493801,0.917404942527657,0.924301075268817
0.05,0.6,0.35,7,0.952134540750323,0.931219504606284,0.960237635807511,0.944183955815276,0.949677419354839
0.05,0.7,0.25,4,0.880585765047916,0.869026695360104,0.913760384676132,0.871871278604496,0.879354838709677
