"","Object","Dataset","Method","Singlet","Multiplet","Negative"
"1","labels_bar11_beacon","bar11","beacon",5125,252,344
"2","labels_bar11_bff_cluster","bar11","bff_cluster",4643,1065,14
"3","labels_bar11_bff_raw","bar11","bff_raw",3176,2532,14
"4","labels_bar11_cmd","bar11","cmd",5513,206,2
"5","labels_bar11_demuxem","bar11","demuxem",3878,1599,246
"6","labels_bar11_demuxmix","bar11","demuxmix",3363,471,1887
"7","labels_bar11_demuxmix_naive","bar11","demuxmix_naive",3358,471,1892
"8","labels_bar11_dm","bar11","dm",3350,346,2026
"9","labels_bar11_dm2","bar11","dm2",3760,360,1601
"10","labels_bar11_gmm","bar11","gmm",2373,237,3112
"11","labels_bar11_hashed","bar11","hashed",3198,329,2195
"12","labels_bar11_hsolo","bar11","hsolo",5261,457,4
"13","labels_bar11_hto","bar11","hto",3155,1041,1526
"14","labels_cook_mix1_beacon","cook_mix1","beacon",11427,1223,7
"15","labels_cook_mix1_bff_cluster","cook_mix1","bff_cluster",5124,7525,8
"16","labels_cook_mix1_bff_raw","cook_mix1","bff_raw",2009,42,10606
"17","labels_cook_mix1_cmd","cook_mix1","cmd",0,0,12657
"18","labels_cook_mix1_demuxmix","cook_mix1","demuxmix",0,0,12657
"19","labels_cook_mix1_demuxmix_naive","cook_mix1","demuxmix_naive",0,0,12657
"20","labels_cook_mix1_dm","cook_mix1","dm",5184,1388,6085
"21","labels_cook_mix1_dm2","cook_mix1","dm2",3576,8777,304
"22","labels_cook_mix1_gmm","cook_mix1","gmm",0,0,12657
"23","labels_cook_mix1_hashed","cook_mix1","hashed",7188,272,5197
"24","labels_cook_mix1_hsolo","cook_mix1","hsolo",5062,7586,9
"25","labels_cook_mix1_hto","cook_mix1","hto",0,0,12657
"26","labels_cook_mix2_beacon","cook_mix2","beacon",11375,1210,4
"27","labels_cook_mix2_bff_cluster","cook_mix2","bff_cluster",8135,4431,23
"28","labels_cook_mix2_bff_raw","cook_mix2","bff_raw",5666,423,6500
"29","labels_cook_mix2_cmd","cook_mix2","cmd",0,0,12589
"30","labels_cook_mix2_demuxmix","cook_mix2","demuxmix",0,0,12589
"31","labels_cook_mix2_demuxmix_naive","cook_mix2","demuxmix_naive",0,0,12589
"32","labels_cook_mix2_dm","cook_mix2","dm",4045,1100,7444
"33","labels_cook_mix2_dm2","cook_mix2","dm2",4499,7958,132
"34","labels_cook_mix2_gmm","cook_mix2","gmm",0,0,12589
"35","labels_cook_mix2_hashed","cook_mix2","hashed",8466,495,3628
"36","labels_cook_mix2_hsolo","cook_mix2","hsolo",5330,7238,21
"37","labels_cook_mix2_hto","cook_mix2","hto",0,0,12589
"38","labels_cook_mix3a_beacon","cook_mix3a","beacon",11914,1354,50
"39","labels_cook_mix3a_bff_cluster","cook_mix3a","bff_cluster",0,0,13318
"40","labels_cook_mix3a_bff_raw","cook_mix3a","bff_raw",5391,683,7244
"41","labels_cook_mix3a_cmd","cook_mix3a","cmd",0,0,13318
"42","labels_cook_mix3a_demuxmix","cook_mix3a","demuxmix",0,0,13318
"43","labels_cook_mix3a_demuxmix_naive","cook_mix3a","demuxmix_naive",0,0,13318
"44","labels_cook_mix3a_dm","cook_mix3a","dm",9744,2652,922
"45","labels_cook_mix3a_dm2","cook_mix3a","dm2",7842,5221,255
"46","labels_cook_mix3a_gmm","cook_mix3a","gmm",0,0,13318
"47","labels_cook_mix3a_hashed","cook_mix3a","hashed",6019,1533,5766
"48","labels_cook_mix3a_hsolo","cook_mix3a","hsolo",7429,5872,17
"49","labels_cook_mix3a_hto","cook_mix3a","hto",0,0,13318
"50","labels_cook_mix3b_beacon","cook_mix3b","beacon",10334,990,60
"51","labels_cook_mix3b_bff_cluster","cook_mix3b","bff_cluster",6665,4707,12
"52","labels_cook_mix3b_bff_raw","cook_mix3b","bff_raw",4379,284,6721
"53","labels_cook_mix3b_cmd","cook_mix3b","cmd",0,0,11384
"54","labels_cook_mix3b_demuxmix","cook_mix3b","demuxmix",0,0,11384
"55","labels_cook_mix3b_demuxmix_naive","cook_mix3b","demuxmix_naive",0,0,11384
"56","labels_cook_mix3b_dm","cook_mix3b","dm",7991,2036,1357
"57","labels_cook_mix3b_dm2","cook_mix3b","dm2",6090,5164,130
"58","labels_cook_mix3b_gmm","cook_mix3b","gmm",0,0,11384
"59","labels_cook_mix3b_hashed","cook_mix3b","hashed",6477,842,4065
"60","labels_cook_mix3b_hsolo","cook_mix3b","hsolo",6389,4978,17
"61","labels_cook_mix3b_hto","cook_mix3b","hto",0,0,11384
"62","labels_cook_mix4a_beacon","cook_mix4a","beacon",12826,1591,27
"63","labels_cook_mix4a_bff_cluster","cook_mix4a","bff_cluster",8451,5958,35
"64","labels_cook_mix4a_bff_raw","cook_mix4a","bff_raw",6179,422,7843
"65","labels_cook_mix4a_cmd","cook_mix4a","cmd",0,0,14444
"66","labels_cook_mix4a_demuxmix","cook_mix4a","demuxmix",0,0,14444
"67","labels_cook_mix4a_demuxmix_naive","cook_mix4a","demuxmix_naive",0,0,14444
"68","labels_cook_mix4a_dm","cook_mix4a","dm",9946,2902,1596
"69","labels_cook_mix4a_dm2","cook_mix4a","dm2",0,0,14444
"70","labels_cook_mix4a_gmm","cook_mix4a","gmm",0,0,14444
"71","labels_cook_mix4a_hashed","cook_mix4a","hashed",9174,783,4487
"72","labels_cook_mix4a_hsolo","cook_mix4a","hsolo",7929,6509,6
"73","labels_cook_mix4a_hto","cook_mix4a","hto",0,0,14444
"74","labels_cook_mix4b_beacon","cook_mix4b","beacon",12790,1696,434
"75","labels_cook_mix4b_bff_cluster","cook_mix4b","bff_cluster",0,0,14920
"76","labels_cook_mix4b_bff_raw","cook_mix4b","bff_raw",5919,441,8560
"77","labels_cook_mix4b_cmd","cook_mix4b","cmd",0,0,14920
"78","labels_cook_mix4b_demuxmix","cook_mix4b","demuxmix",0,0,14920
"79","labels_cook_mix4b_demuxmix_naive","cook_mix4b","demuxmix_naive",0,0,14920
"80","labels_cook_mix4b_dm","cook_mix4b","dm",9965,2771,2184
"81","labels_cook_mix4b_dm2","cook_mix4b","dm2",8355,6388,177
"82","labels_cook_mix4b_gmm","cook_mix4b","gmm",0,0,14920
"83","labels_cook_mix4b_hashed","cook_mix4b","hashed",8468,1013,5439
"84","labels_cook_mix4b_hsolo","cook_mix4b","hsolo",8919,5991,10
"85","labels_cook_mix4b_hto","cook_mix4b","hto",0,0,14920
"86","labels_gaublomme_beacon","gaublomme","beacon",2458,50,0
"87","labels_gaublomme_bff_cluster","gaublomme","bff_cluster",2402,55,51
"88","labels_gaublomme_bff_raw","gaublomme","bff_raw",2423,39,46
"89","labels_gaublomme_cmd","gaublomme","cmd",2432,51,25
"90","labels_gaublomme_demuxem","gaublomme","demuxem",2434,69,5
"91","labels_gaublomme_demuxmix","gaublomme","demuxmix",2432,51,25
"92","labels_gaublomme_demuxmix_naive","gaublomme","demuxmix_naive",2425,55,28
"93","labels_gaublomme_dm","gaublomme","dm",2447,46,15
"94","labels_gaublomme_dm2","gaublomme","dm2",2461,37,10
"95","labels_gaublomme_gmm","gaublomme","gmm",2410,38,60
"96","labels_gaublomme_hashed","gaublomme","hashed",2425,44,39
"97","labels_gaublomme_hsolo","gaublomme","hsolo",2451,45,12
"98","labels_gaublomme_hto","gaublomme","hto",2308,187,13
"99","labels_howitt_batch1_c1_beacon","howitt_batch1_c1","beacon",10555,1024,0
"100","labels_howitt_batch1_c1_bff_cluster","howitt_batch1_c1","bff_cluster",10794,650,135
"101","labels_howitt_batch1_c1_bff_raw","howitt_batch1_c1","bff_raw",8637,1294,1648
"102","labels_howitt_batch1_c1_cmd","howitt_batch1_c1","cmd",11000,575,4
"103","labels_howitt_batch1_c1_demuxmix_naive","howitt_batch1_c1","demuxmix_naive",9161,1940,478
"104","labels_howitt_batch1_c1_dm","howitt_batch1_c1","dm",9633,1743,203
"105","labels_howitt_batch1_c1_dm2","howitt_batch1_c1","dm2",9362,2123,94
"106","labels_howitt_batch1_c1_gmm","howitt_batch1_c1","gmm",8839,1327,1413
"107","labels_howitt_batch1_c1_hashed","howitt_batch1_c1","hashed",9239,1646,694
"108","labels_howitt_batch1_c1_hsolo","howitt_batch1_c1","hsolo",9631,1833,115
"109","labels_howitt_batch1_c1_hto","howitt_batch1_c1","hto",9182,1858,539
"110","labels_howitt_batch1_c2_beacon","howitt_batch1_c2","beacon",11316,1195,1
"111","labels_howitt_batch1_c2_bff_cluster","howitt_batch1_c2","bff_cluster",11675,626,211
"112","labels_howitt_batch1_c2_bff_raw","howitt_batch1_c2","bff_raw",9305,1843,1364
